# U eps
1.804555833587445091e-01 1.000000000000000021e-02
1.806385876330396933e-01 1.007370184254606331e-02
1.808007394329079753e-01 1.014740368509212814e-02
1.809421968137522874e-01 1.022110552763819125e-02
1.810631178309757838e-01 1.029480737018425435e-02
1.811636605399816191e-01 1.036850921273031918e-02
1.812439829961727811e-01 1.044221105527638228e-02
1.813042432549523686e-01 1.051591289782244538e-02
1.813445993717235361e-01 1.058961474036850849e-02
1.813652094018891603e-01 1.066331658291457332e-02
1.813662314008526177e-01 1.073701842546063642e-02
1.813478234240166742e-01 1.081072026800669952e-02
1.813101435267847061e-01 1.088442211055276436e-02
1.812533497645596459e-01 1.095812395309882746e-02
1.811776001927445923e-01 1.103182579564489056e-02
1.810830528667425887e-01 1.110552763819095540e-02
1.809698658419567896e-01 1.117922948073701850e-02
1.808381971737902938e-01 1.125293132328308160e-02
1.806882049176460892e-01 1.132663316582914470e-02
1.805200471289272746e-01 1.140033500837520954e-02
1.803338818630370044e-01 1.147403685092127264e-02
1.801298671753783220e-01 1.154773869346733574e-02
1.799081611213542709e-01 1.162144053601340057e-02
1.796689217563680052e-01 1.169514237855946368e-02
1.794123071358225685e-01 1.176884422110552678e-02
1.791384753151210041e-01 1.184254606365159161e-02
1.788475843496665219e-01 1.191624790619765471e-02
1.785397922948620542e-01 1.198994974874371781e-02
1.782152572061107554e-01 1.206365159128978265e-02
1.778741371388157244e-01 1.213735343383584575e-02
1.775165901483798936e-01 1.221105527638190885e-02
1.771427742902065838e-01 1.228475711892797195e-02
1.767528476196987275e-01 1.235845896147403679e-02
1.763469681922595345e-01 1.243216080402009989e-02
1.759252940632918261e-01 1.250586264656616299e-02
1.754879832881990342e-01 1.257956448911222783e-02
1.750351939223839248e-01 1.265326633165829093e-02
1.745670840212497077e-01 1.272696817420435403e-02
1.740838116401995928e-01 1.280067001675041713e-02
1.735855348346364568e-01 1.287437185929648197e-02
1.730724116599635098e-01 1.294807370184254507e-02
1.725446001715837951e-01 1.302177554438860990e-02
1.720022584249003006e-01 1.309547738693467300e-02
1.714455444753162916e-01 1.316917922948073610e-02
1.708746163782347005e-01 1.324288107202679921e-02
1.702896321890586817e-01 1.331658291457286404e-02
1.696907499631913896e-01 1.339028475711892714e-02
1.690781277560357010e-01 1.346398659966499024e-02
1.684519236229948258e-01 1.353768844221105508e-02
1.678122956194718629e-01 1.361139028475711818e-02
1.671594018008698557e-01 1.368509212730318128e-02
1.664934002225918475e-01 1.375879396984924438e-02
1.658144489400410482e-01 1.383249581239530922e-02
1.651227060086204457e-01 1.390619765494137232e-02
